Ingredient,Description,Category,Substitutes
A1 Sauce,This is a steak sauce similar to Pickapeppa and Heinz 57.,American condiments,"[{'Substitute': '1 ounce barbecue sauce', 'Equivalent': '= 1 ounce A1 Sauce', 'Note': '', 'Nutritional value': {'Carbs': '40.8 g', 'Calories': '172 Cals.', 'Salt': '1027 mg', 'Fat': '0.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.6 mg', 'Calcium': '33 mg', 'Protein': '0.8 g', 'Sugars': '33.2 g', 'Fiber': '0.9 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce ketchup', 'Equivalent': '= 1 ounce A1 Sauce', 'Note': '', 'Nutritional value': {'Carbs': '29.4 g', 'Calories': '118 Cals.', 'Salt': '941 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '14.1 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '17.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
ababai,"Ababais resemble small papayas, and can be cooked or grilled without losing their shape. They're hard to find outside of Chile, where they're grown.",Other Exotic Tropical Fruit,"[{'Substitute': '1 pound papaya', 'Equivalent': '= 1 pound ababai', 'Note': 'This also holds its shape when cooked.', 'Nutritional value': {'Carbs': '10.8 g', 'Calories': '43 Cals.', 'Salt': '8 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '60.9 mg', 'Calcium': '20 mg', 'Protein': '0.5 g', 'Sugars': '7.8 g', 'Fiber': '1.7 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '0.5 pounds mango', 'Equivalent': '= 1 pound ababai', 'Note': '', 'Nutritional value': {'Carbs': '15 g', 'Calories': '60 Cals.', 'Salt': '1 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '36.4 mg', 'Calcium': '11 mg', 'Protein': '0.8 g', 'Sugars': '13.7 g', 'Fiber': '1.6 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
abalone,"Asian markets are a good place to find these. Prod them gently before buying to make sure they're alive. The smaller ones are better. Canned or dried abalones are acceptable substitutes for fresh in some dishes. Unopened canned abalone can be stored for up to a year in a dry, cool place. Once opened, it will keep for up to two days if you wrap it well and refrigerate it.",Mollusks - Clams,"[{'Substitute': '1 pound ormer', 'Equivalent': '= 1 each abalone', 'Note': 'Smaller', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound geoduck clam', 'Equivalent': '= 1 each abalone', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 each conch or other clams', 'Equivalent': '= 1 each abalone', 'Note': '', 'Nutritional value': {'Carbs': '2.7 g', 'Calories': '89 Cals.', 'Salt': '214 mg', 'Fat': '1.8 g', 'Cholesterol': '31 mg', 'Vitamin C': '0 mg', 'Calcium': '27 mg', 'Protein': '17 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound chicken breast or turkey breast + 1 cup clam juice', 'Equivalent': '= 1 each abalone', 'Note': 'Flatten skinned and boned chicken or turkey breasts with a mallet, marinate in clam juice and crushed garlic, then sauté.', 'Nutritional value': {'Carbs': '0 g', 'Calories': '90.7 Cals.', 'Salt': '535.6 mg', 'Fat': '2.2 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
abalone cap mushroom,,Mushrooms,[]
abiu,The round smooth yellow abiu fruit has a creamy texture and the sweet flavor of caramel or vanilla. It is native to the Amazon basin. The abiu fruit has a short shelf life.,Sapotes,"[{'Substitute': '1 pound sapodilla', 'Equivalent': '= 1 pound abiu', 'Note': '', 'Nutritional value': {'Carbs': '20 g', 'Calories': '83 Cals.', 'Salt': '12 mg', 'Fat': '1.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '14.7 mg', 'Calcium': '21 mg', 'Protein': '0.4 g', 'Sugars': '0 g', 'Fiber': '5.3 g', 'Mono Fats': '0.5 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.2 g'}}]"
Abondance,"This French raw cow's milk cheese has a subtle, nutty flavor. It's a good melting cheese.",Semi-Firm Cheeses,"[{'Substitute': '1 pound Gruyere', 'Equivalent': '= 1 pound Abondance', 'Note': '', 'Nutritional value': {'Carbs': '0.4 g', 'Calories': '413 Cals.', 'Salt': '714 mg', 'Fat': '32.3 g', 'Cholesterol': '110 mg', 'Vitamin C': '0 mg', 'Calcium': '1011 mg', 'Protein': '29.8 g', 'Sugars': '0.4 g', 'Fiber': '0 g', 'Mono Fats': '10 g', 'Poly Fats': '1.7 g', 'Saturated Fats': '18.9 g'}}, {'Substitute': '1 pound fontina', 'Equivalent': '= 1 pound Abondance', 'Note': '', 'Nutritional value': {'Carbs': '1.6 g', 'Calories': '389 Cals.', 'Salt': '800 mg', 'Fat': '31.1 g', 'Cholesterol': '116 mg', 'Vitamin C': '0 mg', 'Calcium': '550 mg', 'Protein': '25.6 g', 'Sugars': '1.6 g', 'Fiber': '0 g', 'Mono Fats': '8.7 g', 'Poly Fats': '1.7 g', 'Saturated Fats': '19.2 g'}}, {'Substitute': '1 pound Appenzell', 'Equivalent': '= 1 pound Abondance', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
abruzzese sausage,This a dry sausage from the abruzzo region of central Italy.,Sausages,[]
absinthe,"This potent anise-flavored liqueur contains the narcotic herb wormwood, so it isn't available in most developed countries. If you wish to live dangerously, you might be able to find it in Spain.",Liqueurs,"[{'Substitute': '1 quart Herbsaint', 'Equivalent': '= 1 quart absinthe', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 quart Pernod', 'Equivalent': '= 1 quart absinthe', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 quart anisette', 'Equivalent': '= 1 quart absinthe', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
abura-age,"These are thin slices of tofu that have been deep-fat fried.  They can be cut open and filled with rice to make inari sushi, or used as a meat substitute in soups.  Before using, you should blanch the cakes twice, each time with fresh water, then press the moisture out when you drain them.  Abura-age is widely available in Asian markets, either in cans or fresh in cellophane packages.",Soy Products,"[{'Substitute': '1 pound deep-fried tofu', 'Equivalent': '= 1 pound abura-age', 'Note': '', 'Nutritional value': {'Carbs': '8.9 g', 'Calories': '270 Cals.', 'Salt': '16 mg', 'Fat': '20.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '372 mg', 'Protein': '18.8 g', 'Sugars': '2.7 g', 'Fiber': '3.9 g', 'Mono Fats': '4.5 g', 'Poly Fats': '11.4 g', 'Saturated Fats': '2.9 g'}}]"
acai berry,Acai berries are from the acai palm that is native to the Amazon Basin in Brazil. The small round dark purple fruit grows in clusters. Acai berries have a slight bitter taste. Long enjoyed in Brazil Acai berries have become increasing popular world wide over the last several decades. It is high in antioxidants.,Other Exotic Tropical Fruit,"[{'Substitute': '1 ounce blueberry', 'Equivalent': '= 1 ounce acai berry', 'Note': '', 'Nutritional value': {'Carbs': '14.5 g', 'Calories': '57 Cals.', 'Salt': '1 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '9.7 mg', 'Calcium': '6 mg', 'Protein': '0.7 g', 'Sugars': '10 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce blackberry', 'Equivalent': '= 1 ounce acai berry', 'Note': '', 'Nutritional value': {'Carbs': '65 g', 'Calories': '250 Cals.', 'Salt': '50 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '60 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
acerola,"These are very rich in vitamin C, and somewhat acidic. You can eat them out of hand, but they're better suited for making preserves.",Stone Fruit,"[{'Substitute': '1 pound cherry', 'Equivalent': '= 1 pound acerola', 'Note': '', 'Nutritional value': {'Carbs': '16 g', 'Calories': '63 Cals.', 'Salt': '0 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '7 mg', 'Calcium': '13 mg', 'Protein': '1.1 g', 'Sugars': '12.8 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
acesulfame K,An artifical sweetner. Popular brands are Sunett and Sweet One.,Sugars,"[{'Substitute': '1 tablespoon advantame', 'Equivalent': '= 1 tablespoon acesulfame K', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 tablespoon aspartame', 'Equivalent': '= 1 tablespoon acesulfame K', 'Note': '', 'Nutritional value': {'Carbs': '89.1 g', 'Calories': '365 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '2.2 g', 'Sugars': '80.7 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon saccarin', 'Equivalent': '= 1 tablespoon acesulfame K', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 tablespoon sucralose', 'Equivalent': '= 1 tablespoon acesulfame K', 'Note': '', 'Nutritional value': {'Carbs': '100 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '100 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon Neotame', 'Equivalent': '= 1 tablespoon acesulfame K', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
